"obs","time..2","elapsed","date","hhmmss..5","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccH2O_des","AccCO2_soda","CO2_hrs","AccH2O_hum","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","chamber"
1,1678827602,0,2023-03-14 16:00:02,16:00:02,5,"ely_can11_t2_ch3","gibson",1678827599.25,-0.00244645390467216,-2.44645390467217,-0.110063394039381,420.453200044132,408.103476264438,36.9825088959435,38.101646066069,-0.143084569332914,3.99549331882871,-0.145993854594471,-0.0909798690303876,0,28.8243169097059,28.10843,3.8188934741224,60.7319400673471,2.35204940639095,3.87283759383071,1.46684406773145,107.888617196043,51.9169217296478,2.83883325111391,162.644372176804,-0.110063394039381,-2.44645390467217,0.0607798684142945,431.641631316181,431.619903030303,-0.00043426566410613,67.4890791646057,-2.9256148619035,26.8293294103169,25.9116363636364,-0.0187885177384177,125.53559636264,9,2,1,0,47636,0,0,0,0,1.91,0.5,"0: Broadleaf",2,FALSE,1678827599.25,420.4532,420.0185,25.95496,26.86467,419.8036,25.60572,500.3184,90.52045,0.09997116,28.34945,28.10843,999.9,0,0,9999.69,0,0.222567,0.4347625,431.6568,431.6136,-0.9097176,420.0185,26.86467,2.349456,2.431801,20.01954,20.57705,0,0,0,0,3.23,0,-18.01,-3.03,37.375,42.062,39.812,41.125,38.625,0,0,0,1678827615.5,0,1678824896,15:14:56,1678824884.5,1678824896,1,0.326,0.069,0.65,0.401,420,27,0.75,0.22,0.43486325,-0.00261552720450395,0.0653643492642396,1,-0.96869515,0.128980570356474,0.0529867213679758,0,1,2,"1/2",2.84205,2.71043,0.0909655,0.0909611,0.107753,0.109936,25610.1,22192.3,25219.4,23783.4,38434.2,35034.6,45630.1,42424.8,1.74885,1.85975,-0.0786036,0,29.2971,999.9,54.419,30.978,27.0854,56.7223,43.113,1,0.173112,9.28105,20.0133,5.23811,11.9975,4.95705,3.304,9999,9999,999.9,9999,1.86844,1.86417,1.8717,1.86259,1.86203,1.86846,1.85861,1.86493,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.65,0.3469,0.436257332084194,0.00100583059781826,-1.45714000909308e-06,6.47913989740579e-10,-0.0683374963852458,-0.0314467808109139,0.00259088431351928,-2.83474046784098e-05,2,1297,1,27,45.3,45.1,1.06079,2.3938,1.44897,2.30103,1.44409,2.27783,36.7654,24.2276,18,419.261,473.571,20.505,29.6091,30.0008,29.0835,29.0924,21.27,12.203,100,20.7041,419.9,25.7302,96.5454,99.7444,3
2,1678827607,5,2023-03-14 16:00:07,16:00:07,5,"ely_can11_t2_ch3","gibson",1678827604.5,-0.00182436411518026,-1.82436411518026,-0.181883959471186,420.434222294968,406.901546790702,36.8727615441051,38.0990707603225,-0.109289327209756,3.99385151750123,-0.110978549240073,-0.0692076598850248,0,28.5254873236492,27.9364,3.78079243397806,61.0884997280939,2.34144820819315,3.832878886558,1.4393442257849,80.4544574794497,50.5563196031063,2.76075043932966,133.771527521886,-0.181883959471186,-1.82436411518026,0.0500374634438861,431.546847570732,431.55236969697,-0.00515904239965557,67.4890791646057,-2.5415167440297,26.4854539882633,25.7835757575758,-0.0268351476873901,125.53559636264,8,2,1,0,47782,0,0,0,0,1.91,0.5,"0: Broadleaf",2,FALSE,1678827604.5,420.434222222222,420.072,25.8385555555556,26.5169666666667,419.784555555556,25.4943666666667,500.360333333333,90.5182888888889,0.100097388888889,28.1712,27.9364,999.9,0,0,9994.32222222222,0,0.222567,0.362321555555556,431.585888888889,431.514333333333,-0.678413222222222,420.072,26.5169666666667,2.33886222222222,2.40027,19.9465555555556,20.3655333333333,0,0,0,0,-0.422222222222222,0,-14.8555555555556,-3.18888888888889,37.375,42.062,39.812,41.125,38.611,0,0,0,1678827620.3,0,1678824896,15:14:56,1678824884.5,1678824896,1,0.326,0.069,0.65,0.401,420,27,0.75,0.22,0.412020024390244,-0.105309721254355,0.0655231177474093,0,-0.91529343902439,1.07079275958188,0.127261275978249,0,0,2,"0/2",2.84151,2.71018,0.0909609,0.0909564,0.107376,0.108924,25609.6,22191.9,25218.8,23782.9,38449.9,35073.7,45629.2,42423.9,1.74902,1.85923,-0.0814535,0,29.1839,999.9,54.444,30.978,27.0994,56.4923,43.3373,1,0.173852,9.28105,20.0134,5.23796,11.998,4.95695,3.30395,9999,9999,999.9,9999,1.86844,1.86417,1.87169,1.86259,1.86203,1.86845,1.85858,1.86494,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.649,0.3411,0.436257332084194,0.00100583059781826,-1.45714000909308e-06,6.47913989740579e-10,-0.0683374963852458,-0.0314467808109139,0.00259088431351928,-2.83474046784098e-05,2,1297,1,27,45.4,45.2,1.05957,2.35718,1.44775,2.30103,1.44409,2.4707,36.7892,24.2451,18,419.394,473.283,20.3665,29.618,30.0008,29.0885,29.0986,21.2649,14.4049,100,20.7702,419.9,25.5454,96.5435,99.7423,3
3,1678827612,10,2023-03-14 16:00:12,16:00:12,5,"ely_can11_t2_ch3","gibson",1678827609.2,-0.00130229410522916,-1.30229410522916,-0.487665854718779,420.387100194237,400.033327133097,36.2504371362336,38.0948663894807,-0.0795692803542699,4.00260836666211,-0.0804586649583424,-0.0502059345364689,0,28.2648684845576,27.78039,3.74652668846344,61.3270225073921,2.32895454325733,3.79759924424279,1.41757214520611,57.431170040606,50.0802234549102,2.72449199834619,110.235885493862,-0.487665854718779,-1.30229410522916,-0.212184895933215,431.291206599843,431.430018181818,-0.0114054978821423,67.4890791646057,-2.15488473732648,26.1330823425504,25.6255121212121,-0.032414927381221,125.53559636264,9,2,1,0,47838,0,0,0,0,1.91,0.5,"0: Broadleaf",2,FALSE,1678827609.2,420.3871,419.9919,25.70064,26.18506,419.7372,25.3624,500.2796,90.51863,0.0999127,28.01247,27.78039,999.9,0,0,10024.2,0,0.222567,0.3951324,431.4762,431.2852,-0.4844331,419.9919,26.18506,2.326384,2.370236,19.86025,20.16174,0,0,0,0,0.5,0,-14.38,-2.79,37.375,42.062,39.812,41.125,38.562,0,0,0,1678827625.1,0,1678824896,15:14:56,1678824884.5,1678824896,1,0.326,0.069,0.65,0.401,420,27,0.75,0.22,0.412969925,-0.241155658536587,0.0569701455199947,0,-0.805417975,2.03701818011257,0.201039430786287,0,0,2,"0/2",2.84188,2.71051,0.0909545,0.0909416,0.106917,0.107931,25608.9,22191.9,25218,23782.6,38468.7,35112.5,45627.9,42423.6,1.7486,1.8585,-0.0846572,0,29.0713,999.9,54.444,30.968,27.0859,56.5023,43.3333,1,0.174611,9.28105,20.0134,5.2384,11.9977,4.95715,3.304,9999,9999,999.9,9999,1.86844,1.86418,1.8717,1.8626,1.86203,1.86845,1.85856,1.86494,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.65,0.3342,0.436257332084194,0.00100583059781826,-1.45714000909308e-06,6.47913989740579e-10,-0.0683374963852458,-0.0314467808109139,0.00259088431351928,-2.83474046784098e-05,2,1297,1,27,45.5,45.3,1.06079,2.39258,1.44775,2.30103,1.44409,2.27905,36.7892,24.2276,18,419.19,472.866,20.2317,29.6269,30.0008,29.0939,29.1048,21.2612,16.9206,100,20.8291,419.9,25.2154,96.5405,99.7414,3
4,1678827617,15,2023-03-14 16:00:17,16:00:17,5,"ely_can11_t2_ch3","gibson",1678827614.5,-0.0007790266192089,-0.779026619208907,-0.441191190386032,420.325333509115,395.442631215812,35.8344257572047,38.0892593982478,-0.0485196434546785,3.99997023821926,-0.0488490099663773,-0.0305008540169524,0,27.9885139365196,27.6103111111111,3.70947990515063,61.5145438396211,2.31234498001486,3.75902158364945,1.39713492513577,34.3550739071128,48.9756924852228,2.66157547229443,85.99234186463,-0.441191190386032,-0.779026619208907,0.374470937724279,431.191244497434,431.241721212121,-0.0404186374298769,67.4890791646057,-1.79498245359306,25.7742546169229,25.4428145454545,-0.0370628601361555,125.53559636264,8,2,1,0,47866,0,0,0,0,1.91,0.5,"0: Broadleaf",2,FALSE,1678827614.5,420.325333333333,420.031888888889,25.5173555555556,25.8071777777778,419.675444444444,25.1870777777778,500.297222222222,90.5184888888889,0.100030533333333,27.8374222222222,27.6103111111111,999.9,0,0,10015.2,0,0.222567,0.293487444444444,431.331777777778,431.158888888889,-0.289800888888889,420.031888888889,25.8071777777778,2.30979333333333,2.33602888888889,19.7448444444444,19.9269111111111,0,0,0,0,-1.31111111111111,0,-14.8222222222222,-2.78888888888889,37.375,42.062,39.812,41.125,38.562,0,0,0,1678827630.5,0,1678824896,15:14:56,1678824884.5,1678824896,1,0.326,0.069,0.65,0.401,420,27,0.75,0.22,0.386852175,-0.449446412757974,0.0572088077431646,0,-0.634063375,2.43864964727955,0.234868095679861,0,0,2,"0/2",2.84151,2.71034,0.0909314,0.0909447,0.106392,0.106856,25608.6,22191.4,25217.2,23782.2,38490.6,35154.3,45626.7,42422.8,1.74872,1.85783,-0.0871718,0,28.9571,999.9,54.444,30.978,27.1006,56.3623,43.0048,1,0.175508,9.2807,20.0135,5.23796,11.998,4.95735,3.30395,9999,9999,999.9,9999,1.86844,1.86417,1.87172,1.86261,1.86203,1.86844,1.85856,1.86493,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.65,0.3263,0.436257332084194,0.00100583059781826,-1.45714000909308e-06,6.47913989740579e-10,-0.0683374963852458,-0.0314467808109139,0.00259088431351928,-2.83474046784098e-05,2,1297,1,27,45.5,45.4,1.05957,2.36206,1.44775,2.30103,1.44409,2.43896,36.7892,24.2364,18,419.295,472.481,20.0992,29.6352,30.0009,29.0989,29.1111,21.2551,19.4297,100,20.8588,419.9,24.8361,96.5378,99.7397,3
5,1678827622,20,2023-03-14 16:00:22,16:00:22,5,"ely_can11_t2_ch3","gibson",1678827619.2,-0.00022957677060627,-0.229576770606277,-0.505484828384295,420.256300201795,355.037394178634,32.1733130199186,38.0834180192924,-0.0145589734818501,4.00035124151846,-0.0145884747284783,-0.00911514123660416,0,27.7311256991917,27.4521,3.67530557712361,61.6261493372483,2.29622576844437,3.72605751477072,1.37907980867924,10.1243355837368,50.5738965231292,2.74393387157731,63.4421659784434,-0.505484828384295,-0.229576770606277,-0.26968863828556,430.987261513643,431.13786060606,-0.00920968961583342,67.4890791646057,-1.21032910523225,25.358457176275,25.2530121212121,-0.0379854074997025,125.53559636264,8,2,1,0,47766,0,0,0,0,1.91,0.5,"0: Broadleaf",2,FALSE,1678827619.2,420.2563,420.0265,25.3392,25.42462,419.6066,25.01659,500.3285,90.5195,0.10000529,27.6866,27.4521,999.9,0,0,10016.39,0,0.222567,0.2296906,431.1823,430.9843,-0.085397148,420.0265,25.42462,2.293693,2.301421,19.63213,19.68616,0,0,0,0,-0.53,0,-15.25,-2.86,37.375,42.062,39.812,41.125,38.5248,0,0,0,1678827635.3,0,1678824896,15:14:56,1678824884.5,1678824896,1,0.326,0.069,0.65,0.401,420,27,0.75,0.22,0.3324386,-0.554234296435272,0.0667206266464127,0,-0.43059612,2.40243918348968,0.231290451025763,0,0,2,"0/2",2.84133,2.71027,0.0909272,0.090945,0.105858,0.105592,25608.6,22191,25217,23781.9,38513.5,35203.7,45626.3,42422.5,1.74848,1.85728,-0.0924431,0,28.8437,999.9,54.444,30.968,27.0844,56.4923,43.8301,1,0.173303,7.1762,20.1084,5.23631,11.9926,4.95655,3.30395,9999,9999,999.9,9999,1.86844,1.86417,1.87177,1.86263,1.86203,1.86846,1.85861,1.86496,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.649,0.3183,0.436257332084194,0.00100583059781826,-1.45714000909308e-06,6.47913989740579e-10,-0.0683374963852458,-0.0314467808109139,0.00259088431351928,-2.83474046784098e-05,2,1297,1,27,45.6,45.4,1.05835,2.38892,1.44897,2.30103,1.44409,2.24365,36.7892,24.2976,18,419.187,472.178,20.081,29.6439,29.9986,29.1039,29.1173,21.2499,22.5208,100,20.8204,419.9,24.1063,96.537,99.7387,3
6,1678827627,25,2023-03-14 16:00:27,16:00:27,5,"ely_can11_t2_ch3","gibson",1678827624.5,0.00069498080722156,0.694980807221565,-0.539964417029164,420.175111322767,428.848312484308,38.8614765358439,38.0755263674095,0.0454286558287009,4.00672088637541,0.0451444357757985,0.0282406599654973,0,27.3839467362435,27.2530222222222,3.63269447722782,61.8816096620205,2.28319888873911,3.68962426997179,1.34949558848871,-30.648653598471,57.3555445508736,3.10124254787477,29.8081335002774,-0.539964417029164,0.694980807221565,0.263881600341053,430.854380745711,430.956121212121,-0.0419781185065798,67.4890791646057,0.530982576069783,24.8950478531766,25.1824412121212,-0.00987946999846835,125.53559636264,8,2,1,0,48541,0,0,0,0,1.91,0.5,"0: Broadleaf",2,FALSE,1678827624.5,420.175111111111,420.080444444444,25.1958,24.9371444444444,419.525666666667,24.8793333333333,500.266888888889,90.5184666666667,0.0997668777777778,27.5185444444444,27.2530222222222,999.9,0,0,10038.2777777778,0,0.222567,0.0946384444444444,431.035333333333,430.824,0.258664166666667,420.080444444444,24.9371444444444,2.28068555555556,2.25727111111111,19.5406222222222,19.3744777777778,0,0,0,0,-3.15555555555556,0,-15.8,-3.14444444444444,37.312,42.062,39.812,41.125,38.5,0,0,0,1678827640.1,0,1678824896,15:14:56,1678824884.5,1678824896,1,0.326,0.069,0.65,0.401,420,27,0.75,0.22,0.2734870675,-1.00054735046904,0.102756535619467,0,-0.207722912,2.70066273906191,0.262282830535871,0,0,2,"0/2",2.84117,2.71066,0.0908995,0.0909439,0.105713,0.104104,25609,22191.1,25216.7,23782.1,38520,35262.5,45626.4,42422.7,1.74937,1.85632,-0.0944361,0,28.7286,999.9,54.444,30.968,27.0831,54.5523,42.9046,1,0.166494,-0.328396,20.1078,5.23706,11.9923,4.9566,3.304,9999,9999,999.9,9999,1.86844,1.86417,1.87176,1.86263,1.86204,1.86847,1.85864,1.86495,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.649,0.3162,0.436257332084194,0.00100583059781826,-1.45714000909308e-06,6.47913989740579e-10,-0.0683374963852458,-0.0314467808109139,0.00259088431351928,-2.83474046784098e-05,2,1297,1,27,45.7,45.5,1.05835,2.37061,1.44775,2.30225,1.44409,2.42554,36.7892,24.2714,18,419.733,471.622,20.5572,29.6525,29.9957,29.1094,29.1241,21.2407,25.9499,100,29.5594,419.9,23.3827,96.5368,99.7394,3
7,1678827632,30,2023-03-14 16:00:32,16:00:32,5,"ely_can11_t2_ch3","gibson",1678827629.2,0.00257767308331432,2.57767308331432,-0.578921359792889,419.959700226072,415.344421856723,37.6369766116521,38.0551960818136,0.176091845199793,4.04198555947687,0.171938300432809,0.107826457326871,0,26.9131150619262,27.15651,3.61219241156505,62.6858981372806,2.29798870529017,3.66587824945513,1.31420370627489,-113.675382974162,54.8526891944605,2.93700005914695,-55.8856937205542,-0.578921359792889,2.57767308331432,-0.208054600894069,430.648145646043,430.840018181818,-0.022596330008192,67.4890791646057,6.59898123718912,24.3136287474814,25.6669587878788,0.121198112578877,125.53559636264,6,1,1,0,48144,0,0,0,0,1.91,0.5,"0: Broadleaf",2,FALSE,1678827629.2,419.9597,420.152,25.35955,24.40022,419.31,25.03603,500.193,90.5167,0.09960452,27.40823,27.15651,999.9,0,0,10159.31,0,0.222567,-0.19238896,430.8865,430.6603,0.9593256,420.152,24.40022,2.295462,2.208628,19.64431,19.02459,0,0,0,0,1.17,0,-18.27,-3.88,37.3246,42.0372,39.812,41.0746,38.5,0,0,0,1678827645.5,0,1678824896,15:14:56,1678824884.5,1678824896,1,0.326,0.069,0.65,0.401,420,27,0.75,0.22,0.15181731525,-1.70345775253283,0.173487238004673,0,0.110760138,4.32140353756098,0.436934377194836,0,0,2,"0/2",2.84112,2.71112,0.0908412,0.0909607,0.107354,0.102137,25610.7,22190.6,25216.8,23782.1,38448.9,35340.1,45626.8,42422.9,1.7528,1.85438,-0.0906177,0,28.611,999.9,54.444,30.978,27.1007,53.9023,44.0064,1,0.168453,-6.66667,20.0761,5.23736,11.9926,4.95665,3.30398,9999,9999,999.9,9999,1.86844,1.86417,1.87176,1.86263,1.86204,1.86845,1.85862,1.86499,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.65,0.341,0.436257332084194,0.00100583059781826,-1.45714000909308e-06,6.47913989740579e-10,-0.0683374963852458,-0.0314467808109139,0.00259088431351928,-2.83474046784098e-05,2,1297,1,27,45.8,45.6,1.05713,2.37549,1.44775,2.30225,1.44409,2.4707,36.7892,24.2801,18,421.697,470.448,23.7636,29.6598,29.9997,29.1133,29.1341,21.2263,32.0545,100,29.7851,419.9,21.9268,96.5374,99.7395,3
8,1678827637,35,2023-03-14 16:00:37,16:00:37,5,"ely_can11_t2_ch3","gibson",1678827634.5,0.00736395903505422,7.36395903505422,-0.847114140405229,419.562333670221,412.858340698507,37.4111697262689,38.0186522310045,0.564705327084798,3.99763157733624,0.523838502487075,0.33082399428882,0,25.9760994750894,27.1321555555556,3.60703479011054,64.8039209069243,2.37524539073387,3.66528036805882,1.23178939937667,-324.750593445891,58.8993070360051,3.18822777628969,-262.663058633597,-0.847114140405229,7.36395903505422,-0.462349471884031,430.591943353929,430.797357575757,-0.00504209633007767,67.4890791646057,11.9812349010104,23.3853581172637,26.4776775757576,0.149738026675458,125.53559636264,6,1,1,0,47991,0,0,0,0,1.91,0.5,"0: Broadleaf",2,FALSE,1678827634.5,419.562333333333,420.418555555556,26.2124888888889,23.4745444444444,418.912777777778,25.852,500.246777777778,90.5148111111111,0.100215977777778,27.4054444444444,27.1321555555556,999.9,0,0,10007.6166666667,0,0.222567,-0.856248333333333,430.856222222222,430.525,2.73795333333333,420.418555555556,23.4745444444444,2.37262,2.12479555555556,20.1777,18.4051555555556,0,0,0,0,2.83333333333333,0,-14.8333333333333,-1.97777777777778,37.312,42.0482222222222,39.8051111111111,41.062,38.458,0,0,0,1678827650.3,0,1678824896,15:14:56,1678824884.5,1678824896,1,0.326,0.069,0.65,0.401,420,27,0.75,0.22,-0.129329033902439,-3.78627760097561,0.402616523273657,0,0.82147759804878,9.78137756445992,1.04010780918712,0,0,2,"0/2",2.84142,2.71021,0.0907827,0.0909806,0.109449,0.0986667,25611.7,22189.5,25216.1,23781.6,38356.7,35476.1,45625.5,42422,1.75275,1.85175,-0.0826083,0,28.4991,999.9,54.444,30.978,27.0997,53.5223,43.4535,1,0.168293,-6.66667,20.0839,5.23811,11.9921,4.95695,3.304,9999,9999,999.9,9999,1.86844,1.86418,1.87174,1.86263,1.86205,1.86846,1.85862,1.86496,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.65,0.3733,0.436257332084194,0.00100583059781826,-1.45714000909308e-06,6.47913989740579e-10,-0.0683374963852458,-0.0314467808109139,0.00259088431351928,-2.83474046784098e-05,2,1297,1,27,45.9,45.7,1.05713,2.38892,1.44897,2.30225,1.44409,2.29736,36.8129,24.2714,18,421.69,468.85,26.3186,29.6675,29.9999,29.1164,29.1447,21.2025,39.1407,99.5933,30.0438,419.9,20.5456,96.5347,99.7376,3
9,1678827642,40,2023-03-14 16:00:42,16:00:42,5,"ely_can11_t2_ch3","gibson",1678827639.2,0.0114049882500895,11.4049882500895,-1.8705339995185,419.25460074756,413.725847874264,37.4897146034138,37.9907018354121,0.924228322333874,3.99778179270667,0.819904087041935,0.520828508890838,0,25.2874084357074,27.17187,3.61544855876511,65.0274679212588,2.39679778879373,3.68582364562617,1.21865076997139,-502.959981828946,70.9217792554845,3.84145532795825,-428.196747245503,-1.8705339995185,11.4049882500895,-0.560336612895844,429.974084585475,430.496533333333,-0.0621327548049062,67.4890791646057,9.86131802719201,21.9877175665546,26.2707581818182,-0.0677796451119451,125.53559636264,7,1,1,0,47753,0,0,0,0,1.91,0.5,"0: Broadleaf",2,FALSE,1678827639.2,419.2546,420.3663,26.45038,22.21015,418.605,26.07949,500.1461,90.5149,0.09997165,27.50093,27.17187,999.9,0,0,10008.12,0,0.222567,-1.111675,430.6452,429.9147,4.240239,420.3663,22.21015,2.394153,2.010349,20.32422,17.52347,0,0,0,0,-1.59,0,-15.49,-3.05,37.312,42.0248,39.7934,41.062,38.437,0,0,0,1678827655.1,0,1678824896,15:14:56,1678824884.5,1678824896,1,0.326,0.069,0.65,0.401,420,27,0.75,0.22,-0.44247778475,-5.10913475515947,0.502816343197435,0,1.792990558,15.5477893206754,1.534590320092,0,0,2,"0/2",2.84135,2.71014,0.0907443,0.0909373,0.108574,0.0943885,25611.7,22190.5,25215,23781.8,38393.6,35644.6,45624.1,42422,1.75163,1.8511,-0.0721961,0,28.3995,999.9,54.444,30.978,27.0995,54.2523,43.0769,1,0.168341,-6.66667,20.0892,5.23811,11.9921,4.9568,3.304,9999,9999,999.9,9999,1.86844,1.86417,1.87172,1.86262,1.86204,1.86846,1.85863,1.86494,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.649,0.3598,0.436257332084194,0.00100583059781826,-1.45714000909308e-06,6.47913989740579e-10,-0.0683374963852458,-0.0314467808109139,0.00259088431351928,-2.83474046784098e-05,2,1297,1,27,46,45.8,1.05591,2.37549,1.44775,2.30347,1.44409,2.40967,36.7892,24.2801,18,421.061,468.465,28.3052,29.6739,30,29.1177,29.1485,21.1875,43.1164,99.5933,30.2849,419.9,19.9755,96.5314,99.7379,3
10,1678827647,45,2023-03-14 16:00:47,16:00:47,5,"ely_can11_t2_ch3","gibson",1678827644.5,0.0128686649398981,12.8686649398981,-2.51618593771967,419.085556562005,413.881157924194,37.5040616273857,37.9756609826811,0.974689767529571,3.9971553806971,0.859404664882719,0.546345320096698,0,25.1509546055008,27.2878888888889,3.64012612745335,62.6156612262909,2.32793820775699,3.71782100861939,1.31218791969636,-567.508123849506,77.7600439705936,4.21806102596522,-485.530018852947,-2.51618593771967,12.8686649398981,-0.355424472590718,429.25783925486,429.93123030303,-0.109504633607829,67.4890791646057,6.4714166123023,20.7925525922697,25.227413939394,-0.223039045718302,125.53559636264,6,1,1,0,47723,0,0,0,0,1.91,0.5,"0: Broadleaf",2,FALSE,1678827644.5,419.085555555556,420.184111111111,25.6902777777778,20.9025444444444,418.436,25.3525,500.188777777778,90.5155444444444,0.0999883222222222,27.6487333333333,27.2878888888889,999.9,0,0,10005.9088888889,0,0.222567,-1.09877777777778,430.135888888889,429.155,4.78773222222222,420.184111111111,20.9025444444444,2.32537111111111,1.89200777777778,19.8523666666667,16.5674111111111,0,0,0,0,2.15555555555556,0,-17.0888888888889,-3.4,37.312,42,39.7844444444444,41.062,38.437,0,0,0,1678827660.5,0,1678824896,15:14:56,1678824884.5,1678824896,1,0.326,0.069,0.65,0.401,420,27,0.75,0.22,-0.75815225225,-4.10847044634146,0.430609846159834,0,2.948215425,16.3731789005629,1.60485064428083,0,0,2,"0/2",2.84109,2.71047,0.0907202,0.0908892,0.105462,0.0914331,25611.6,22190.9,25214.5,23781.1,38527.8,35760,45622.8,42420.8,1.75187,1.85078,-0.0581704,0,28.3158,999.9,54.444,30.978,27.1004,54.1723,43.3574,1,0.168399,-6.66667,20.0936,5.23796,11.9927,4.9568,3.304,9999,9999,999.9,9999,1.86844,1.86417,1.87168,1.86261,1.86203,1.86845,1.85865,1.86495,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.65,0.3125,0.436257332084194,0.00100583059781826,-1.45714000909308e-06,6.47913989740579e-10,-0.0683374963852458,-0.0314467808109139,0.00259088431351928,-2.83474046784098e-05,2,1297,1,27,46,45.9,1.05591,2.35962,1.44775,2.30347,1.44409,2.45483,36.8129,24.2801,18,421.235,468.242,29.9836,29.6803,30,29.1225,29.1466,21.1823,43.5077,99.2139,30.4664,419.9,20.3929,96.5287,99.735,3
