"obs","time..2","elapsed","date","hhmmss..5","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_des","AccH2O_hum","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","chamber"
1,1679450195.1,0,2023-03-21 20:56:35,20:56:35,5,"bou_cur25_t1_ch5","stan",1679450192.1,0.00153230445842298,1.53230445842298,-1.73343805286576,420.348364414368,439.321876257282,39.5373919292621,37.8298439683031,0.091658173295723,3.86194201188617,0.0904665813449101,0.0566473824396312,0,20.0858277617132,19.9955545454545,2.34596718035269,35.2952262318224,0.84868153247689,2.404522149547,1.4972856478758,-67.5746266164534,83.0132333477423,4.33034267978478,19.7689494110736,-1.75305551203581,1.56014128657194,-1.73343805286576,423.58659734026,424.348733333333,5.42857142689333e-05,64.51,1.53230445842298,8.74679641368342,9.42997335664336,-0.003092359494935,94.1439129595324,0,0,1,0,48511,0,0,0,0,2.18,0.5,"0: Broadleaf",2,TRUE,1679450192.1,420.348363636364,419.87,9.43017090909091,8.75641818181818,421.908090909091,9.62637,500.040272727273,89.8965363636364,0.0998741636363636,20.3942636363636,19.9955545454545,999.9,0,0,10012.4954545455,0,0.281038,0.478393636363636,424.349909090909,423.578818181818,0.673754454545455,419.87,8.75641818181818,0.847739636363636,0.787171636363636,4.53285090909091,3.47802727272727,0,0,0,0,2.28006363636364,0,-4.96682727272727,-1.055,34.5281818181818,41.312,37.562,41.187,35.187,0,0,0,1679450203,0,1679449926.6,20:52:06,1679449917.1,1679449926.6,1,1.571,0.029,-1.559,-0.2,420,8,0.36,0.05,0.447610390243902,-0.0134647526132399,0.0628620543858042,1,0.676087780487805,0.0606431080139379,0.0181337394842741,1,2,2,"2/2",2.98446,2.71537,0.0943371,0.0930811,0.054627,0.0504456,28824.6,28979.6,29572.4,29546.3,37053.9,37315.1,41652,42103.6,1.98495,1.8866,0.00312924,0,19.949,999.9,30.7,30.9,15.3186,62.9415,30.028,1,-0.167724,2.24443,20.348,5.22493,12.0099,4.9923,3.28925,9999,9999,9999,999.9,1.86737,1.86644,1.86597,1.86584,1.86768,1.87012,1.86878,1.87021,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-1.559,-0.1962,-0.270555507245329,-0.00331085608506856,6.86326872306395e-07,-1.9191071413662e-10,-0.139870365971083,-0.0173105147561391,0.00142379005590326,-2.42481051779006e-05,3,2318,1,25,4.6,4.5,1.0376,2.22778,1.39648,2.34497,1.49536,2.42432,35.0364,24.0875,18,527.684,422.921,17.5719,25.2964,29.9999,25.4763,25.4596,20.7691,35.4096,22.506,17.5456,419.9,8.82751,101.124,101.119,5
2,1679450200.1,5,2023-03-21 20:56:40,20:56:40,5,"bou_cur25_t1_ch5","stan",1679450197.6,0.00152323493690343,1.52323493690343,-1.71184820455413,420.309556321504,439.104956406193,39.5181442328195,37.8266139491731,0.0910135272485961,3.86137526829181,0.0898383517283028,0.0562532903931683,0,20.093458975186,20.0081333333333,2.34779525207027,35.294513821783,0.848970832407308,2.40539035809963,1.49882441966296,-67.1746607174414,81.5997635787582,4.25763578319629,18.6827386445132,-1.72504374406102,1.53785420429339,-1.71184820455413,423.549654808658,424.305078787879,-0.00054279942280009,64.51,1.52323493690343,8.77921469900774,9.43412650349651,0.00041025314030787,94.1439129595324,0,0,1,0,48671,0,0,0,0,2.18,0.5,"0: Broadleaf",2,TRUE,1679450197.6,420.309555555556,419.839333333333,9.43332,8.76925,421.869111111111,9.62950777777778,500.082333333333,89.8970555555556,0.0999796777777778,20.4001111111111,20.0081333333333,999.9,0,0,10010.4111111111,0,0.281038,0.470265666666667,424.312222222222,423.553666666667,0.664069222222222,419.839333333333,8.76925,0.848027666666667,0.788329888888889,4.53770444444444,3.49887,0,0,0,0,2.33433333333333,0,-4.96341111111111,-1.05394444444444,34.5482222222222,41.312,37.562,41.222,35.187,0,0,0,1679450207.8,0,1679449926.6,20:52:06,1679449917.1,1679449926.6,1,1.571,0.029,-1.559,-0.2,420,8,0.36,0.05,0.45458915,0.0396219512195121,0.0621330361492781,1,0.675448975,-0.0479576397748593,0.0193958851376877,1,2,2,"2/2",2.98484,2.71587,0.0943353,0.0930898,0.0546385,0.0502486,28825.2,28979.8,29572.9,29546.7,37054.1,37323.6,41652.7,42104.4,1.9856,1.88655,0.00411272,0,19.9455,999.9,30.6,31,15.3576,62.5315,29.8317,1,-0.16765,2.37515,20.3465,5.22912,12.0099,4.9934,3.29,9999,9999,9999,999.9,1.86737,1.86644,1.86595,1.86584,1.86768,1.87013,1.86877,1.8702,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-1.56,-0.1962,-0.270555507245329,-0.00331085608506856,6.86326872306395e-07,-1.9191071413662e-10,-0.139870365971083,-0.0173105147561391,0.00142379005590326,-2.42481051779006e-05,3,2318,1,25,4.7,4.6,1.0376,2.23267,1.39648,2.34497,1.49536,2.48535,35.0364,24.0875,18,528.051,422.843,17.5722,25.2901,29.9999,25.4697,25.4532,20.7686,35.0818,22.1307,17.5467,419.9,8.82751,101.125,101.121,5
3,1679450205.1,10,2023-03-21 20:56:45,20:56:45,5,"bou_cur25_t1_ch5","stan",1679450202.3,0.00160867385322096,1.60867385322096,-1.68592774525392,420.305600756414,437.087641199706,39.336457469794,37.8261287440905,0.0961117604378422,3.85659306100058,0.0948006612321171,0.0593667202441135,0,20.0779263450533,20.00956,2.34800266792932,35.2481573105009,0.847963028827681,2.40569463350375,1.50003963910164,-70.9425169270444,81.6280748680905,4.26447014816684,14.9500280892129,-1.65899302226591,1.65810719382042,-1.68592774525392,423.563480554112,424.304666666666,4.52380952345339e-05,64.51,1.60867385322096,8.70910236660654,9.40590258741259,-0.00030677430510606,94.1439129595324,0,0,1,0,48621,0,0,0,0,2.18,0.5,"0: Broadleaf",2,TRUE,1679450202.3,420.3056,419.8862,9.422154,8.706146,421.8653,9.618382,500.0804,89.89656,0.1001678,20.40216,20.00956,999.9,0,0,9993.372,0,0.281038,0.4194033,424.3035,423.574,0.7160099,419.8862,8.706146,0.8470193,0.7826525,4.520697,3.396484,0,0,0,0,2.37866,0,-5.033,-1.0696,34.562,41.3435,37.5809,41.25,35.1933,0,0,0,1679450212.6,0,1679449926.6,20:52:06,1679449917.1,1679449926.6,1,1.571,0.029,-1.559,-0.2,420,8,0.36,0.05,0.436323341463415,0.13229475261324,0.0591016075752679,0,0.688363658536585,0.0390920696864111,0.0251508729030593,1,1,2,"1/2",2.98474,2.71562,0.0943375,0.0930822,0.0545087,0.0501582,28825.4,28980.3,29573.1,29546.9,37059.6,37327.3,41653.2,42104.5,1.98542,1.88682,0.0038296,0,19.9431,999.9,30.5,31,15.3055,62.5715,29.5593,1,-0.167612,2.40226,20.3462,5.22912,12.0099,4.99335,3.29,9999,9999,9999,999.9,1.86737,1.86643,1.86596,1.86584,1.86768,1.87013,1.86875,1.87019,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-1.56,-0.1963,-0.270555507245329,-0.00331085608506856,6.86326872306395e-07,-1.9191071413662e-10,-0.139870365971083,-0.0173105147561391,0.00142379005590326,-2.42481051779006e-05,3,2318,1,25,4.8,4.6,1.0376,2.23145,1.39648,2.34375,1.49536,2.43286,35.0364,24.0875,18,527.876,422.951,17.5646,25.2837,30,25.4633,25.4464,20.7729,34.7665,22.1307,17.5523,419.9,8.82751,101.126,101.121,5
4,1679450210.1,15,2023-03-21 20:56:50,20:56:50,5,"bou_cur25_t1_ch5","stan",1679450207.6,0.00147377227394519,1.4737722739452,-1.69076937458835,420.327111871445,439.795403729025,39.5806314713781,37.828527472886,0.0878058209117306,3.85699441255798,0.0867102587055558,0.0542912046149994,0,20.10487443487,20.0118555555556,2.34833644085675,35.1601545681974,0.845831794703298,2.40565436952987,1.50250464615345,-64.9933572809833,81.102861556324,4.23663454763047,20.3461388229712,-1.69129054428823,1.52992131890552,-1.69076937458835,423.550167889178,424.297145454545,-0.00070396536796955,64.51,1.4737722739452,8.72468716998425,9.3991527972028,-0.00547586392935816,94.1439129595324,0,0,1,0,48503,0,0,0,0,2.18,0.5,"0: Broadleaf",2,TRUE,1679450207.6,420.327111111111,419.870111111111,9.39835777777778,8.73761777777778,421.886888888889,9.59466555555556,500.027666666667,89.8979555555556,0.0998732888888889,20.4018888888889,20.0118555555556,999.9,0,0,9994.65111111111,0,0.281038,0.457119444444444,424.315222222222,423.571,0.660741777777778,419.870111111111,8.73761777777778,0.844893111111111,0.785493777777778,4.48479222222222,3.44780888888889,0,0,0,0,2.29445555555556,0,-5.07054444444444,-1.11545555555556,34.562,41.361,37.611,41.25,35.25,0,0,0,1679450218,0,1679449926.6,20:52:06,1679449917.1,1679449926.6,1,1.571,0.029,-1.559,-0.2,420,8,0.36,0.05,0.4607583,-0.14592520075047,0.0391891308861271,0,0.6802744,0.0310244803001857,0.0257293210489511,1,1,2,"1/2",2.98486,2.71559,0.0943393,0.0931076,0.0544931,0.0503861,28825.8,28979.6,29573.6,29547,37061,37318.6,41654,42104.9,1.98557,1.88692,0.00423193,0,19.9414,999.9,30.4,30.9,15.168,62.8515,29.992,1,-0.167894,2.45344,20.3456,5.22927,12.0099,4.9935,3.29,9999,9999,9999,999.9,1.86737,1.86642,1.86592,1.86584,1.86767,1.87014,1.86876,1.87019,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-1.56,-0.1963,-0.270555507245329,-0.00331085608506856,6.86326872306395e-07,-1.9191071413662e-10,-0.139870365971083,-0.0173105147561391,0.00142379005590326,-2.42481051779006e-05,3,2318,1,25,4.9,4.7,1.0376,2.229,1.39648,2.34741,1.49536,2.47925,35.0364,24.0963,18,527.91,422.957,17.5551,25.2768,29.9999,25.4563,25.4396,20.768,34.4877,22.1307,17.5441,419.9,8.82751,101.128,101.122,5
5,1679450215.1,20,2023-03-21 20:56:55,20:56:55,5,"bou_cur25_t1_ch5","stan",1679450212.3,0.00148219594303298,1.48219594303298,-1.52255836179742,420.333900683141,436.586022727099,39.2922086420998,37.8295375143361,0.0883240595435727,3.85609874811213,0.0872153610053512,0.0546080531764116,0,20.0995814275572,20.01532,2.34884024851398,35.1953013717329,0.846492868609257,2.40513033165591,1.50234737990472,-65.3648410877546,79.6301839560766,4.16066986563856,18.4260127339606,-1.58229254513691,1.45755840543907,-1.52255836179742,423.653155047619,424.323218181818,-9.34487734489252e-05,64.51,1.48219594303298,8.77687744714414,9.41414692307693,0.00040296788863,94.1439129595324,0,0,1,0,48629,0,0,0,0,2.18,0.5,"0: Broadleaf",2,TRUE,1679450212.3,420.3339,419.9112,9.405604,8.776174,421.8936,9.601885,500.0701,89.89868,0.10009824,20.39836,20.01532,999.9,0,0,9991.37,0,0.281038,0.4228547,424.3249,423.6287,0.6294305,419.9112,8.776174,0.8455511,0.7889662,4.495913,3.51031,0,0,0,0,2.35805,0,-5.10249,-1.11204,34.562,41.375,37.625,41.2934,35.25,0,0,0,1679450222.8,0,1679449926.6,20:52:06,1679449917.1,1679449926.6,1,1.571,0.029,-1.559,-0.2,420,8,0.36,0.05,0.4433137,-0.19005178986867,0.0495604455792117,0,0.668355325,-0.160901189493437,0.0337260405765245,0,0,2,"0/2",2.98458,2.71558,0.09434,0.0930903,0.0545598,0.0503391,28825.2,28980,29572.9,29546.9,37057.6,37320.2,41653.2,42104.6,1.9854,1.88713,0.00486523,0,19.9397,999.9,30.4,31,15.2558,62.6815,30.008,1,-0.168262,2.48322,20.3451,5.22912,12.0101,4.9936,3.29,9999,9999,9999,999.9,1.86737,1.86644,1.86591,1.86583,1.86768,1.87012,1.86878,1.87021,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-1.56,-0.1963,-0.270555507245329,-0.00331085608506856,6.86326872306395e-07,-1.9191071413662e-10,-0.139870365971083,-0.0173105147561391,0.00142379005590326,-2.42481051779006e-05,3,2318,1,25,5,4.8,1.0376,2.22534,1.39648,2.34619,1.49536,2.53174,35.0364,24.0963,18,527.736,423.021,17.5404,25.2704,29.9999,25.4499,25.4327,20.7702,34.1945,21.7551,17.5319,419.9,8.82751,101.126,101.121,5
6,1679450220.1,25,2023-03-21 20:57:00,20:57:00,5,"bou_cur25_t1_ch5","stan",1679450217.6,0.00155340312622417,1.55340312622417,-1.91378168445705,420.323445304463,442.06073255823,39.7843538085851,37.8280526416887,0.0926089951101826,3.85542760595231,0.0913907037926774,0.0572273131870389,0,20.0844712492512,20.0170777777778,2.34909590490664,35.1984814240833,0.846532536245895,2.40502573405535,1.50256336866075,-68.5050778664859,79.1045422892293,4.1339468871382,14.7334113098816,-1.61964198502918,1.62066487568707,-1.91378168445705,423.630208107359,424.362115151515,0.0230922077921719,64.51,1.55340312622417,8.72419729018308,9.39390853146853,0.00016313792253131,94.1439129595324,0,0,1,0,48564,0,0,0,0,2.18,0.5,"0: Broadleaf",2,TRUE,1679450217.6,420.323444444444,419.914333333333,9.40618,8.70629888888889,421.882888888889,9.60246111111111,500.058777777778,89.8974777777778,0.100006455555556,20.3976555555556,20.0170777777778,999.9,0,0,9989.10555555556,0,0.281038,0.408932222222222,424.314333333333,423.602555555556,0.699880888888889,419.914333333333,8.70629888888889,0.845591888888889,0.782674333333333,4.4966,3.39687555555555,0,0,0,0,2.20387777777778,0,-4.91675555555556,-1.12056666666667,34.562,41.375,37.625,41.312,35.25,0,0,0,1679450227.6,0,1679449926.6,20:52:06,1679449917.1,1679449926.6,1,1.571,0.029,-1.559,-0.2,420,8,0.36,0.05,0.426912025,-0.078081106941839,0.0471068423074013,1,0.676418725,-0.124955290806755,0.0357846074094627,0,1,2,"1/2",2.98475,2.71569,0.0943518,0.0930901,0.0544633,0.0501403,28824.9,28980.1,29572.9,29546.9,37061,37328.1,41652.7,42104.5,1.98568,1.88708,0.00470877,0,19.938,999.9,30.3,31,15.2066,62.7815,29.5272,1,-0.168316,2.52201,20.3442,5.22912,12.0099,4.9933,3.29,9999,9999,9999,999.9,1.86737,1.86644,1.86595,1.86584,1.86768,1.87013,1.86878,1.8702,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-1.559,-0.1963,-0.270555507245329,-0.00331085608506856,6.86326872306395e-07,-1.9191071413662e-10,-0.139870365971083,-0.0173105147561391,0.00142379005590326,-2.42481051779006e-05,3,2318,1,25,5,4.9,1.0376,2.23877,1.39648,2.34619,1.49536,2.41943,35.0364,24.0875,18,527.848,422.939,17.5234,25.264,29.9999,25.4427,25.4257,20.7726,33.8953,21.7551,17.5141,419.9,8.83072,101.125,101.121,5
7,1679450225.1,30,2023-03-21 20:57:05,20:57:05,5,"bou_cur25_t1_ch5","stan",1679450222.3,0.00143734727806162,1.43734727806163,-1.63225442759712,420.361700731204,439.533998380666,39.5569173515613,37.8314603986216,0.0855364216977317,3.8588062116539,0.0844968788839259,0.0529028953583921,0,20.1084150704728,20.01364,2.34859592713712,35.1275463611911,0.844842408838416,2.40507093820762,1.50375351829871,-63.3870149625178,79.952380332706,4.17452911499305,20.7398944851812,-1.70097774480399,1.50301611985989,-1.63225442759712,423.604276498701,424.330975757576,-0.00186253746257325,64.51,1.43734727806163,8.72578854854265,9.3867204895105,-0.00579793091965732,94.1439129595324,0,0,1,0,48658,0,0,0,0,2.18,0.5,"0: Broadleaf",2,TRUE,1679450222.3,420.3617,419.8956,9.387409,8.738325,421.9217,9.583751,500.0611,89.89743,0.09997065,20.39796,20.01364,999.9,0,0,10001.185,0,0.281038,0.4663177,424.3454,423.5969,0.6490845,419.8956,8.738325,0.843904,0.785553,4.46806,3.448861,0,0,0,0,2.26152,0,-5.17136,-1.14209,34.562,41.3874,37.625,41.312,35.25,0,0,0,1679450233,0,1679449926.6,20:52:06,1679449917.1,1679449926.6,1,1.571,0.029,-1.559,-0.2,420,8,0.36,0.05,0.441881926829268,-0.00163632752613352,0.0550932210160331,1,0.660252390243902,-0.00664312891985976,0.0292199816170607,1,2,2,"2/2",2.98475,2.7155,0.0943524,0.0931103,0.054447,0.0503697,28825.7,28979.6,29573.8,29547,37062.7,37319.4,41653.9,42104.9,1.98573,1.88713,0.00465661,0,19.9363,999.9,30.2,31,15.1561,62.9115,30,1,-0.168854,2.53044,20.344,5.22912,12.0102,4.9931,3.29,9999,9999,9999,999.9,1.86737,1.86645,1.86597,1.86584,1.86768,1.87014,1.86881,1.87021,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-1.56,-0.1963,-0.270555507245329,-0.00331085608506856,6.86326872306395e-07,-1.9191071413662e-10,-0.139870365971083,-0.0173105147561391,0.00142379005590326,-2.42481051779006e-05,3,2318,1,25,5.1,5,1.0376,2.22534,1.39648,2.34619,1.49536,2.4585,35.0364,24.0875,18,527.822,422.92,17.5038,25.2577,29.9998,25.4363,25.4193,20.7713,33.8953,21.7551,17.4985,419.9,8.82967,101.128,101.122,5
8,1679450230.1,35,2023-03-21 20:57:10,20:57:10,5,"bou_cur25_t1_ch5","stan",1679450227.6,0.00149444898707379,1.4944489870738,-1.74432170978552,420.367667448993,440.373269761596,39.6328264534965,37.8323571266859,0.0890328407302606,3.86136085648644,0.087907913202661,0.0550423317281569,0,20.0912628812601,20.0117222222222,2.34831705310228,35.1667048709562,0.845479420136799,2.4042042700312,1.50283763296548,-65.9052003299544,79.18927034266,4.13178563874942,17.415855651455,-1.76306325139939,1.47669012075427,-1.74432170978552,423.567760076191,424.339836363636,-0.00103248635423652,64.51,1.4944489870738,8.75933455426243,9.39608146853147,0.00124715864006119,94.1439129595324,0,0,1,0,48557,0,0,0,0,2.18,0.5,"0: Broadleaf",2,TRUE,1679450227.6,420.367666666667,419.869666666667,9.39439777777778,8.75667,421.927333333333,9.59071666666667,500.047555555556,89.8983888888889,0.0998675333333333,20.3921222222222,20.0117222222222,999.9,0,0,10010.2111111111,0,0.281038,0.49803,424.354111111111,423.578777777778,0.637727111111111,419.869666666667,8.75667,0.844541,0.787210333333333,4.47883777777778,3.47874444444444,0,0,0,0,2.24401111111111,0,-5.07041111111111,-1.15183333333333,34.597,41.4232222222222,37.6387777777778,41.361,35.25,0,0,0,1679450237.8,0,1679449926.6,20:52:06,1679449917.1,1679449926.6,1,1.571,0.029,-1.559,-0.2,420,8,0.36,0.05,0.446030475,0.331021969981238,0.0592168775975175,0,0.652375125,-0.019367380863041,0.0294504562088497,1,1,2,"1/2",2.98471,2.71566,0.0943541,0.0931011,0.0544808,0.050301,28826.6,28980,29574.7,29547.1,37062.7,37322.1,41655.4,42104.9,1.9857,1.88722,0.00479072,0,19.9345,999.9,30.1,30.9,15.0194,62.9815,29.988,1,-0.169129,2.52182,20.3443,5.22927,12.0099,4.9931,3.29,9999,9999,9999,999.9,1.86737,1.86643,1.86596,1.86584,1.86767,1.87014,1.8688,1.87021,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-1.56,-0.1963,-0.270555507245329,-0.00331085608506856,6.86326872306395e-07,-1.9191071413662e-10,-0.139870365971083,-0.0173105147561391,0.00142379005590326,-2.42481051779006e-05,3,2318,1,25,5.2,5.1,1.0376,2.22656,1.39648,2.34497,1.49536,2.51953,35.0364,24.0875,18,527.746,422.93,17.4874,25.2513,29.9997,25.4299,25.4129,20.7721,33.3478,21.3812,17.4856,419.9,8.82967,101.132,101.122,5
9,1679450235.1,40,2023-03-21 20:57:15,20:57:15,5,"bou_cur25_t1_ch5","stan",1679450232.3,0.00151333450450274,1.51333450450275,-1.7190917526198,420.334400770271,439.506980599459,39.5548551743576,37.8293567137235,0.0901579577971782,3.85632527026241,0.0890031323660258,0.0557294817247361,0,20.0856904124387,20.01188,2.34833999529361,35.1595996670716,0.845235940292005,2.40399762311174,1.50310405500161,-66.7380516485712,78.7637514895819,4.11492402300608,16.1406238640168,-1.6824855309883,1.5398284591814,-1.7190917526198,423.579463979221,424.331890909091,0.00075450609995743,64.51,1.51333450450275,8.73115425520299,9.38481727272728,-1.97108762717248e-05,94.1439129595324,0,0,1,0,48691,0,0,0,0,2.18,0.5,"0: Broadleaf",2,TRUE,1679450232.3,420.3344,419.8831,9.391694,8.726731,421.8942,9.588021,500.0729,89.89809,0.10015103,20.39073,20.01188,999.9,0,0,9992.245,0,0.281038,0.4514251,424.3196,423.5795,0.664961,419.8831,8.726731,0.8442953,0.7845165,4.474679,3.430182,0,0,0,0,2.35655,0,-5.03871,-1.15035,34.625,41.437,37.6808,41.375,35.2686,0,0,0,1679450242.6,0,1679449926.6,20:52:06,1679449917.1,1679449926.6,1,1.571,0.029,-1.559,-0.2,420,8,0.36,0.05,0.4582596,0.115754116322701,0.0496472096455581,0,0.661353825,-0.111043373358349,0.0259277872531455,0,0,2,"0/2",2.98506,2.71574,0.0943503,0.0931114,0.0544297,0.050219,28827.7,28980.2,29575.6,29547.6,37065.8,37325.9,41656.6,42105.6,1.98615,1.8875,0.00465661,0,19.9319,999.9,30,31,15.0542,62.7815,29.5473,1,-0.169677,2.52288,20.3444,5.22897,12.0099,4.99345,3.29,9999,9999,9999,999.9,1.86737,1.86642,1.86594,1.86583,1.86768,1.87014,1.86879,1.87022,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-1.559,-0.1964,-0.270555507245329,-0.00331085608506856,6.86326872306395e-07,-1.9191071413662e-10,-0.139870365971083,-0.0173105147561391,0.00142379005590326,-2.42481051779006e-05,3,2318,1,25,5.3,5.1,1.0376,2.23267,1.39648,2.34619,1.49536,2.42554,35.0364,24.0875,18,527.977,423.037,17.4751,25.2444,29.9997,25.423,25.4061,20.7715,33.0483,21.3812,17.4733,419.9,8.83938,101.135,101.124,5
10,1679450240.1,45,2023-03-21 20:57:20,20:57:20,5,"bou_cur25_t1_ch5","stan",1679450237.6,0.00149766512228058,1.49766512228059,-1.55815323419439,420.328556253343,436.949361336426,39.3245763943993,37.8287368828664,0.08916511489878,3.86265174155593,0.0880372370826405,0.0551234197727982,0,20.0846546914197,20.0099444444444,2.3480585631111,35.1262037056944,0.844190006670366,2.40330555998431,1.50386855644073,-66.047031892574,78.3249254962558,4.0851580020023,16.3630516056841,-1.53188056940258,1.48040790679902,-1.55815323419439,423.637128128138,424.32003030303,0.00049954696466536,64.51,1.49766512228059,8.73087608573967,9.3809120979021,-0.00046788122544135,94.1439129595324,0,0,1,0,48607,0,0,0,0,2.18,0.5,"0: Broadleaf",2,TRUE,1679450237.6,420.328555555556,419.932,9.38009555555555,8.74075666666667,421.888111111111,9.57646111111111,500.050444444444,89.8981333333333,0.0998844555555555,20.3860666666667,20.0099444444444,999.9,0,0,10014.8555555556,0,0.281038,0.396511444444444,424.308555555556,423.635,0.63934,419.932,8.74075666666667,0.843253,0.785777666666667,4.45704,3.45293222222222,0,0,0,0,2.27275555555556,0,-5.21996666666667,-1.16172222222222,34.625,41.437,37.687,41.3818888888889,35.312,0,0,0,1679450248,0,1679449926.6,20:52:06,1679449917.1,1679449926.6,1,1.571,0.029,-1.559,-0.2,420,8,0.36,0.05,0.453491195121951,-0.304492013937283,0.0495070040352604,0,0.649111390243902,-0.0232243275261317,0.017283616650766,1,1,2,"1/2",2.98488,2.71563,0.0943522,0.0931129,0.0544176,0.0503548,28827.9,28980.8,29575.8,29548.2,37066.8,37321.3,41657.1,42106.4,1.98595,1.887,0.00488758,0,19.9289,999.9,30,30.9,14.969,62.8515,29.9279,1,-0.170208,2.51248,20.3445,5.22927,12.0099,4.9936,3.29,9999,9999,9999,999.9,1.86737,1.86645,1.86596,1.86584,1.86768,1.87013,1.86879,1.87021,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-1.56,-0.1964,-0.270555507245329,-0.00331085608506856,6.86326872306395e-07,-1.9191071413662e-10,-0.139870365971083,-0.0173105147561391,0.00142379005590326,-2.42481051779006e-05,3,2318,1,25,5.4,5.2,1.03638,2.22656,1.39648,2.34619,1.49536,2.45239,35.0364,24.0963,18,527.785,422.698,17.463,25.238,29.9997,25.4164,25.3997,20.7695,32.7656,21.3812,17.4631,419.9,8.84259,101.136,101.126,5
