"obs","time","elapsed","date","hhmmss","averaging","id","machine","TIME","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd.dt","αVc","Edyn","Hr","Hs","dHs.dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME.1","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time.1","hhmmss.1","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2.MN","ΔCO2.SLP","ΔCO2.SD","ΔCO2.OK","ΔH2O.MN","ΔH2O.SLP","ΔH2O.SD","ΔH2O.OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_.","Flow_.","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_hum","AccH2O_des","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_.","Desiccant_.","Humidifier_.","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","NA.","chamber"
1,1678483565.5,0,"20230310 15:26:05","15:26:05",5,"pas_smi15_t4_ch3","gibson",1678483562.75,-9.02264730157747e-05,-0.0902264730157747,-0.844403624149332,420.22410038879,263.61446554873,23.7642021521775,37.8821793791515,-0.00893217592475888,3.86101112433054,-0.0089436718588245,-0.00558876084476891,0,27.7901361996053,27.33224,3.64959851033196,74.0394849895904,2.77255687187905,3.74470037476471,0.87704163845291,3.97898745999567,91.5464949970129,5.14531043534067,100.670792892349,-0.844403624149332,-0.0902264730157747,-0.850264218947162,433.192499880273,433.57323030303,0.000305363702027106,67.0996269493433,-0.046488415843733,30.7938398594187,30.7640490909091,0.001226150689428,115.199567111425,15,3,1,0,47383,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1678483562.75,420.2241,419.8397,30.75576,30.79386,419.8301,30.36795,500.3786,90.04756,0.10000494,27.77204,27.33224,999.9,0,0,9992.38,0,0.222567,0.3843872,433.5584,433.1789,-0.0380989,419.8397,30.79386,2.769482,2.77291,22.7033,22.72371,0,0,0,0,-1.2,0,-9.44,-1.69,38.25,43.2624,40.937,42.062,39.187,0,0,0,1678483574.7,0,0,"--:--:--",1678311632,1678311637,0,0.412,0.049,0.78,0.502,420,30,0.45,0.21,0.4374084,-0.346122168855534,0.0514677610066729,0,-0.0725173125,0.291763631144466,0.0281779513014448,0,0,2,"0/2",2.84118,2.71025,0.090478,0.09042,0.120867,0.120512,25596.2,22190.8,25192,23767.5,37828.8,34598.9,45588.5,42401.1,1.73105,1.83288,0.0187382,0,27.0205,999.9,53.76,33.405,30.8531,54.3007,43.0729,1,0.158864,-0.041555,20.2443,5.23376,11.992,4.95575,3.304,9999,9999,9999,999.9,1.86873,1.86447,1.87196,1.86296,1.86234,1.86874,1.85883,1.86521,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.394,0.3878,0.194837266885601,0.000627187234394091,-4.01537248521887e-07,9.27123944784829e-11,0.387814043947855,0,0,0,1,1476,2,27,2865.6,2865.5,1.05957,2.37671,1.44775,2.2998,1.44409,2.50366,40.451,24.1663,18,411.818,459.32,26.8936,29.6885,29.9996,29.4636,29.4553,21.2593,0,100,26.936,419.819,39.0868,96.4514,99.6849,NA,3
2,1678483570.5,5,"20230310 15:26:10","15:26:10",5,"pas_smi15_t4_ch3","gibson",1678483568,-4.42841145088929e-05,-0.0442841145088929,-0.924231108573703,420.232444868378,79.4915667288207,7.16590476520068,37.8825805440118,-0.00438944823515045,3.86164417093538,-0.0043922220112896,-0.00274488940498311,0,27.7924914857009,27.3373222222222,3.65068532935583,74.0327765008327,2.77417946083818,3.74723141824483,0.876505868517648,1.95292944984217,92.9124198798768,5.22165932809925,100.087008657818,-0.924231108573703,-0.0442841145088929,-0.781673339667182,433.160584802551,433.525775757576,-0.00286153285956038,67.0996269493433,-0.0221288075619064,30.793027511476,30.7784109090909,0.000636274858412187,115.199567111425,15,3,1,0,47552,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1678483568,420.232444444444,419.821666666667,30.7740444444444,30.7927444444444,419.838222222222,30.3862333333333,500.366111111111,90.0467666666667,0.0999628555555556,27.7836111111111,27.3373222222222,999.9,0,0,9994.72777777778,0,0.222567,0.410614111111111,433.575222222222,433.159888888889,-0.0187191444444444,419.821666666667,30.7927444444444,2.77110333333333,2.77279,22.7129555555556,22.7229777777778,0,0,0,0,-0.344444444444444,0,-11.6777777777778,-2.51111111111111,38.243,43.25,40.8887777777778,42.062,39.125,0,0,0,1678483579.5,0,0,"--:--:--",1678311632,1678311637,0,0.412,0.049,0.78,0.502,420,30,0.45,0.21,0.424491292682927,-0.209138571428572,0.0469365403077461,0,-0.052839612195122,0.256376491986063,0.0253499758164526,0,0,2,"0/2",2.8409,2.71012,0.0904653,0.0904259,0.1209,0.120505,25596.7,22190.9,25192.1,23767.7,37827.5,34599.5,45588.6,42401.6,1.73102,1.8332,0.0213608,0,27.001,999.9,53.736,33.405,30.8418,54.0407,44.4231,1,0.158204,-0.131664,20.2442,5.23346,11.992,4.9557,3.304,9999,9999,9999,999.9,1.86874,1.86447,1.872,1.86296,1.86234,1.86874,1.85886,1.86523,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.394,0.3878,0.194837266885601,0.000627187234394091,-4.01537248521887e-07,9.27123944784829e-11,0.387814043947855,0,0,0,1,1476,2,27,2865.6,2865.6,1.05957,2.40967,1.44775,2.2998,1.44409,2.26685,40.451,24.1575,18,411.788,459.501,27.0112,29.6802,29.9996,29.4611,29.4521,21.2572,0,100,27.0557,419.819,39.0868,96.4518,99.6859,NA,3
3,1678483575.5,10,"20230310 15:26:15","15:26:15",5,"pas_smi15_t4_ch3","gibson",1678483572.7,-1.81394791924407e-05,-0.0181394791924407,-0.759198705131854,420.202300346195,-258.955249191143,-23.3437193368998,37.8794583027001,-0.00179161628369368,3.86819927461004,-0.00179207742005284,-0.00112000694745229,0,27.7974616872087,27.3565,3.65478898797884,74.0070494931561,2.77487057945995,3.74946792023718,0.879918408518892,0.799951032386635,91.2018299895105,5.11758934754685,97.119370369444,-0.759198705131854,-0.0181394791924407,-0.734714010504452,433.216086710072,433.544963636363,0.000290797126101855,67.0996269493433,-0.00540395147919167,30.789888859594,30.7868509090909,9.12337056357909e-05,115.199567111425,15,3,1,0,47720,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1678483572.7,420.2023,419.8682,30.78204,30.7897,419.8081,30.39422,500.3501,90.04589,0.09987615,27.79383,27.3565,999.9,0,0,10018.235,0,0.222567,0.3341064,433.5478,433.2065,-0.0076637242,419.8682,30.7897,2.771797,2.772488,22.71707,22.72118,0,0,0,0,-1.21,0,-9.27,-2.11,38.187,43.25,40.875,42.062,39.125,0,0,0,1678483584.9,0,0,"--:--:--",1678311632,1678311637,0,0.412,0.049,0.78,0.502,420,30,0.45,0.21,0.394750975,-0.281887666041275,0.0497391149762878,0,-0.0344291635,0.214032732157598,0.0207496895748435,0,0,2,"0/2",2.84148,2.71042,0.0904677,0.0904215,0.120923,0.120495,25597.3,22191,25192.7,23767.7,37827.2,34599.9,45589.5,42401.5,1.73158,1.83293,0.0231117,0,26.9822,999.9,53.736,33.405,30.8419,53.6307,43.3093,1,0.157449,-0.176656,20.2442,5.23376,11.992,4.9553,3.304,9999,9999,9999,999.9,1.86874,1.86447,1.87196,1.86295,1.86234,1.86874,1.85883,1.86522,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.394,0.3878,0.194837266885601,0.000627187234394091,-4.01537248521887e-07,9.27123944784829e-11,0.387814043947855,0,0,0,1,1476,2,27,2865.7,2865.6,1.05957,2.39624,1.44775,2.2998,1.44409,2.44385,40.4765,24.1663,18,412.074,459.302,27.1271,29.6717,29.9994,29.458,29.4489,21.257,0,100,27.1638,419.819,39.0868,96.4538,99.6857,NA,3
4,1678483580.5,15,"20230310 15:26:20","15:26:20",5,"pas_smi15_t4_ch3","gibson",1678483578,1.33668592702503e-05,0.0133668592702503,-0.956605828180034,420.223222662042,1562.65042254877,140.865292756369,37.8810682345468,0.00132140678178411,3.86364911806038,0.00132115575863745,0.000825744898047298,0,27.8044430917748,27.3583888888889,3.65519338990375,73.9711590412935,2.77567808517607,3.75237879350597,0.879515304727681,-0.589478493818037,93.4698301322043,5.25142792298595,98.1317795613722,-0.956605828180034,0.0133668592702503,-0.944338774558655,433.147550233263,433.570393939394,0.000344167294746167,67.0996269493433,0.0221098959124248,30.7852334207629,30.7936557575757,0.000110316859346485,115.199567111425,15,3,1,0,47405,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1678483578,420.223222222222,419.808888888889,30.7912222222222,30.7855777777778,419.829111111111,30.4034,500.359333333333,90.0449888888889,0.100120166666667,27.8071222222222,27.3583888888889,999.9,0,0,10002.0833333333,0,0.222567,0.414472777777778,433.573444444444,433.143333333333,0.00563430777777778,419.808888888889,30.7855777777778,2.77259444444444,2.77208777777778,22.7218444444444,22.7188,0,0,0,0,0.166666666666667,0,-10.6555555555556,-2.61111111111111,38.187,43.25,40.875,42.0551111111111,39.125,0,0,0,1678483589.7,0,0,"--:--:--",1678311632,1678311637,0,0.412,0.049,0.78,0.502,420,30,0.45,0.21,0.384414725,-0.115745054409005,0.0428532371116742,0,-0.017870516925,0.177634513609756,0.0172266653853274,0,0,2,"0/2",2.8412,2.71021,0.0904738,0.0904138,0.120939,0.120491,25597.5,22191.5,25193,23768,37826.8,34600.1,45589.9,42401.6,1.7318,1.83258,0.0248812,0,26.9653,999.9,53.736,33.415,30.8603,53.7907,43.6939,1,0.15688,-0.209717,20.2444,5.23122,11.992,4.95575,3.304,9999,9999,9999,999.9,1.86874,1.86447,1.87195,1.86296,1.86234,1.86874,1.85885,1.86522,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.394,0.3878,0.194837266885601,0.000627187234394091,-4.01537248521887e-07,9.27123944784829e-11,0.387814043947855,0,0,0,1,1476,2,27,2865.8,2865.7,1.05957,2.38159,1.44775,2.2998,1.44409,2.55371,40.4765,24.1575,18,412.179,459.051,27.2313,29.6634,29.9995,29.4549,29.4451,21.2575,0,100,27.2627,419.819,39.0868,96.4547,99.6864,NA,3
5,1678483585.5,20,"20230310 15:26:25","15:26:25",5,"pas_smi15_t4_ch3","gibson",1678483582.7,2.1124909734114e-05,0.021124909734114,-0.921962264010495,420.221600423285,1117.31469927949,100.721685751972,37.8813847265401,0.00207938752475283,3.86026641237405,0.00207876545261997,0.00129928428171867,0,27.8155724334857,27.37744,3.65927432393187,73.9218970304385,2.77588487146596,3.75515913819548,0.883389452465908,-0.931608519274428,92.063692240813,5.17777915025191,96.3098628717905,-0.921962264010495,0.021124909734114,-0.984421428894285,433.162891622177,433.59946060606,0.00122925180487534,67.0996269493433,0.0245503012737703,30.7841530298748,30.794956969697,-5.28182215501124e-05,115.199567111425,15,3,1,0,47531,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1678483582.7,420.2216,419.8238,30.79314,30.78422,419.8275,30.40534,500.3835,90.04618,0.10003021,27.81981,27.37744,999.9,0,0,9989.875,0,0.222567,0.3978637,433.5726,433.1582,0.00891208,419.8238,30.78422,2.772804,2.772003,22.72307,22.71831,0,0,0,0,-1.75,0,-9.89,-1.92,38.187,43.2311,40.8687,42.0248,39.1061,0,0,0,1678483594.5,0,0,"--:--:--",1678311632,1678311637,0,0.412,0.049,0.78,0.502,420,30,0.45,0.21,0.387719,0.0127629118198874,0.0420153487043723,1,-0.005298518675,0.12653284017636,0.0124749055689459,0,1,2,"1/2",2.84134,2.71012,0.0904775,0.0904222,0.120948,0.120486,25597.6,22191.5,25193.2,23768.2,37826.2,34600.8,45589.7,42402.2,1.73167,1.83302,0.0264347,0,26.9502,999.9,53.736,33.405,30.8417,53.7707,44.1186,1,0.156357,-0.250114,20.2443,5.23137,11.992,4.9558,3.304,9999,9999,9999,999.9,1.86874,1.86448,1.87197,1.86295,1.86234,1.86874,1.85885,1.86523,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.394,0.3879,0.194837266885601,0.000627187234394091,-4.01537248521887e-07,9.27123944784829e-11,0.387814043947855,0,0,0,1,1476,2,27,2865.9,2865.8,1.05957,2.41089,1.44897,2.2998,1.44409,2.30347,40.451,24.1663,18,412.089,459.306,27.3265,29.6553,29.9996,29.4517,29.4414,21.2585,0,100,27.3563,419.819,39.0868,96.4548,99.6876,NA,3
6,1678483590.5,25,"20230310 15:26:30","15:26:30",5,"pas_smi15_t4_ch3","gibson",1678483588,4.17053176526269e-05,0.0417053176526269,-1.02383877609327,420.22033380275,810.614941498981,73.0730292356778,37.8808373314856,0.00409298882099309,3.86441404734127,0.00409058197076237,0.00255682985458317,0,27.8288093359115,27.3929555555556,3.66260084485829,73.8595319057274,2.7763543333647,3.75896551430677,0.886246511493585,-1.83920450848085,92.5461833413119,5.20018161824997,95.907160451081,-1.02383877609327,0.0417053176526269,-1.04742853389732,433.093919678678,433.566872727273,-0.000435525922641981,67.0996269493433,0.0448181542914517,30.7813761091038,30.7994915151515,9.7789746656131e-05,115.199567111425,15,3,1,0,47525,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1678483588,420.220333333333,419.781888888889,30.7987,30.7810888888889,419.825888888889,30.4109,500.351444444444,90.0453222222222,0.0998570666666667,27.8371666666667,27.3929555555556,999.9,0,0,10004.7777777778,0,0.222567,0.438425777777778,433.573555555556,433.113555555556,0.0176171222222222,419.781888888889,30.7810888888889,2.77328111111111,2.77169222222222,22.7259,22.7164555555556,0,0,0,0,3.27777777777778,0,-13.5666666666667,-3.13333333333333,38.1525555555556,43.187,40.84,42,39.09,0,0,0,1678483599.9,0,0,"--:--:--",1678311632,1678311637,0,0.412,0.049,0.78,0.502,420,30,0.45,0.21,0.390953075,0.369271283302063,0.0453334946250493,0,0.004264688825,0.0977081652045028,0.00965403708533955,1,1,2,"1/2",2.8416,2.71031,0.0904738,0.0904214,0.120954,0.120477,25598.2,22191.9,25193.6,23768.6,37826.7,34601.8,45590.6,42402.9,1.73142,1.83323,0.0284575,0,26.9359,999.9,53.736,33.415,30.8594,53.8707,43.0649,1,0.155836,-0.270074,20.2443,5.23077,11.992,4.9556,3.304,9999,9999,9999,999.9,1.86874,1.86447,1.87197,1.86295,1.86234,1.86874,1.85887,1.86523,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.394,0.3879,0.194837266885601,0.000627187234394091,-4.01537248521887e-07,9.27123944784829e-11,0.387814043947855,0,0,0,1,1476,2,27,2866,2865.9,1.05957,2.37671,1.44775,2.2998,1.44409,2.47437,40.451,24.1663,18,411.928,459.404,27.4144,29.647,29.9996,29.4486,29.4378,21.2567,0,100,27.439,419.819,39.0868,96.4565,99.6893,NA,3
7,1678483595.5,30,"20230310 15:26:35","15:26:35",5,"pas_smi15_t4_ch3","gibson",1678483592.7,4.77925085835714e-05,0.0477925085835714,-0.799590285950741,420.190300366894,685.193938656624,61.7664648113778,37.8778444137701,0.0046708528560296,3.86133325029061,0.00466771619562317,0.00291760425658603,0,27.8442857083946,27.40996,3.66624961313448,73.7847076028322,2.77624686480663,3.76263179052033,0.890002748327849,-2.1076496285355,92.4097204983735,5.19753073619575,95.4996016060338,-0.799590285950741,0.0477925085835714,-0.830762849722362,433.196596620127,433.56913939394,0.000182339086639238,67.0996269493433,0.0504440403481975,30.7771992183963,30.7987103030303,-2.55347418545918e-05,115.199567111425,14,3,1,0,47539,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1678483592.7,420.1903,419.8507,30.79774,30.77756,419.7962,30.40994,500.3911,90.04445,0.10004972,27.85387,27.40996,999.9,0,0,9993.875,0,0.222567,0.3398957,433.5425,433.1827,0.02017135,419.8507,30.77756,2.773165,2.771349,22.72522,22.71441,0,0,0,0,1.52,0,-14.03,-2.58,38.125,43.187,40.812,42,39.062,0,0,0,1678483604.7,0,0,"--:--:--",1678311632,1678311637,0,0.412,0.049,0.78,0.502,420,30,0.45,0.21,0.394677725,-0.0945718311444669,0.0466304143365612,1,0.011644694825,0.0680278627654784,0.00670815665227486,1,2,2,"2/2",2.84127,2.71018,0.0904728,0.0904182,0.120952,0.120467,25598.3,22191.8,25193.7,23768.4,37827,34601.6,45590.9,42402.3,1.73207,1.8332,0.0303984,0,26.9242,999.9,53.711,33.405,30.8295,54.3307,44.2147,1,0.155315,-0.272958,20.2443,5.23092,11.992,4.9557,3.304,9999,9999,9999,999.9,1.86874,1.86448,1.872,1.86295,1.86234,1.86874,1.85884,1.86523,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.394,0.3878,0.194837266885601,0.000627187234394091,-4.01537248521887e-07,9.27123944784829e-11,0.387814043947855,0,0,0,1,1476,2,27,2866.1,2866,1.05957,2.40967,1.44775,2.2998,1.44409,2.24854,40.4765,24.1663,18,412.266,459.357,27.4908,29.6374,29.9995,29.4448,29.4338,21.2575,0,100,27.5096,419.819,39.0868,96.457,99.6879,NA,3
8,1678483600.5,35,"20230310 15:26:40","15:26:40",5,"pas_smi15_t4_ch3","gibson",1678483598,4.89139628192235e-05,0.0489139628192235,-0.972278049507233,420.242000448798,738.014795438063,66.5265148028984,37.88167369607,0.00475561600723457,3.8628507904143,0.0047523657895251,0.00297052044563651,0,27.8616501076973,27.4304666666667,3.67065409828836,73.7033780983573,2.77603410995503,3.76649508011751,0.894619988333329,-2.15710576032776,91.837705275987,5.16431020880119,94.8449097244605,-0.972278049507233,0.0489139628192235,-1.34733393560567,433.148123897526,433.648333333333,0.0218583890154211,67.0996269493433,0.0443328790340037,30.7753719207652,30.7947993939394,-8.52771803264701e-05,115.199567111425,14,3,1,0,47230,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1678483598,420.242,419.827333333333,30.7960555555556,30.7754,419.847666666667,30.4082555555556,500.342777777778,90.0425333333333,0.0999884888888889,27.8714555555556,27.4304666666667,999.9,0,0,9999.50555555555,0,0.222567,0.414533777777778,433.595,433.158,0.0206777777777778,419.827333333333,30.7754,2.77295666666667,2.77109444444444,22.7239666666667,22.7129,0,0,0,0,-2.95555555555556,0,-10.7888888888889,-2.68888888888889,38.125,43.187,40.812,41.972,39.062,0,0,0,1678483609.5,0,0,"--:--:--",1678311632,1678311637,0,0.412,0.049,0.78,0.502,420,30,0.45,0.21,0.398146025,-0.122729144465292,0.0445162852518533,0,0.01617197575,0.0504166308067542,0.0052552495377341,1,1,2,"1/2",2.84191,2.71018,0.0904833,0.0904291,0.12094,0.120462,25598.6,22191.8,25194.3,23768.6,37828,34602.2,45591.5,42402.7,1.73242,1.83298,0.032302,0,26.9128,999.9,53.711,33.415,30.8481,54.4307,43.4375,1,0.154878,-0.252734,20.2444,5.23167,11.992,4.9557,3.304,9999,9999,9999,999.9,1.86874,1.86448,1.87195,1.86295,1.86234,1.86874,1.85883,1.86522,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.395,0.3878,0.194837266885601,0.000627187234394091,-4.01537248521887e-07,9.27123944784829e-11,0.387814043947855,0,0,0,1,1476,2,27,2866.1,2866.1,1.05957,2.3999,1.44775,2.2998,1.44409,2.40967,40.451,24.1663,18,412.44,459.187,27.555,29.6297,29.9995,29.4416,29.4302,21.2561,0,100,27.5669,419.819,39.0868,96.4586,99.6888,NA,3
9,1678483605.5,40,"20230310 15:26:45","15:26:45",5,"pas_smi15_t4_ch3","gibson",1678483602.7,4.8899762874691e-05,0.048899762874691,-0.945707576031549,420.24350043406,730.910882794344,65.8855900891369,37.8814868665912,0.00472838102609111,3.86389418259878,0.00472516878262511,0.0029535189078248,0,27.8786799933159,27.45189,3.67526039937999,73.6235367350558,2.77578285224191,3.77023839839553,0.899477547138073,-2.15647954277387,90.9461777983783,5.11377668282795,93.9034749384324,-0.945707576031549,0.048899762874691,-0.937227928249263,433.166059311317,433.600248484848,-0.00266641310658896,67.0996269493433,0.0401303995722072,30.772945238584,30.7897836363636,1.30904151577983e-05,115.199567111425,15,3,1,0,47481,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1678483602.7,420.2435,419.8404,30.79353,30.77288,419.8492,30.40573,500.3334,90.04186,0.0998955,27.88848,27.45189,999.9,0,0,10003.306,0,0.2330003,0.4029877,433.5954,433.1705,0.02065962,419.8404,30.77288,2.772709,2.770847,22.7225,22.71144,0,0,0,0,2.34,0,-13.77,-2.7,38.125,43.187,40.812,41.9433,39.062,0,0,0,1678483614.9,0,0,"--:--:--",1678311632,1678311637,0,0.412,0.049,0.78,0.502,420,30,0.45,0.21,0.396899425,-0.0603723714821768,0.0434291002876456,1,0.0192942575,0.0213721339587242,0.00272574193586696,1,2,2,"2/2",2.8414,2.71028,0.0904824,0.0904206,0.120928,0.120454,25598.7,22192.6,25194.2,23769.2,37828.7,34603.4,45591.7,42403.7,1.73195,1.8331,0.0345968,0,26.9028,999.9,53.711,33.415,30.8464,54.3507,43.4776,1,0.154472,-0.225338,20.2446,5.23286,11.992,4.9557,3.304,9999,9999,9999,999.9,1.86874,1.86447,1.87195,1.86295,1.86234,1.86874,1.85884,1.86521,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.394,0.3878,0.194837266885601,0.000627187234394091,-4.01537248521887e-07,9.27123944784829e-11,0.387814043947855,0,0,0,1,1476,2,27,2866.2,2866.1,1.05835,2.38281,1.44775,2.2998,1.44409,2.55249,40.451,24.1751,18,412.15,459.234,27.6043,29.6214,29.9996,29.4379,29.4262,21.2563,0,100,27.6107,419.819,39.0868,96.4589,99.6913,NA,3
10,1678483610.5,45,"20230310 15:26:50","15:26:50",5,"pas_smi15_t4_ch3","gibson",1678483608,3.57858906192136e-05,0.0357858906192136,-1.09305623228801,420.272111611524,918.695987485274,82.8142602640625,37.8847023464133,0.00343338232326983,3.86565850113692,0.00343168908929714,0.00214495773792017,0,27.9017979893565,27.4804111111111,3.68140064500524,73.5160349124786,2.77504453532281,3.774747289658,0.906356109682426,-1.57815777630732,89.3132838837748,5.02089654722904,92.7560226546965,-1.09305623228801,0.0357858906192136,-1.21887557443805,433.123096038724,433.656903030303,0.00292017723961821,67.0996269493433,0.0280812393199105,30.7698560010264,30.782143030303,-5.1832025672704e-05,115.199567111425,15,3,1,0,47573,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1678483608,420.272111111111,419.802444444444,30.7848222222222,30.7697111111111,419.878,30.3970222222222,500.371,90.0433222222222,0.0999475777777778,27.9089666666667,27.4804111111111,999.9,0,0,10009.4444444444,0,0.222567,0.469658777777778,433.621222222222,433.129777777778,0.0151112888888889,419.802444444444,30.7697111111111,2.77196777777778,2.77060666666667,22.7181,22.7100222222222,0,0,0,0,1.63333333333333,0,-13.5555555555556,-2.91111111111111,38.09,43.1801111111111,40.7637777777778,41.937,39.0344444444444,0,0,0,1678483619.7,0,0,"--:--:--",1678311632,1678311637,0,0.412,0.049,0.78,0.502,420,30,0.45,0.21,0.40301895,0.346728675422137,0.0488655871912689,0,0.01955952,-0.0113520630393997,0.00217058773943833,1,1,2,"1/2",2.84148,2.71028,0.0904922,0.0904291,0.12091,0.120452,25599.2,22192.3,25194.9,23769,37829.9,34603.3,45592.4,42403.5,1.73175,1.83358,0.0359714,0,26.8948,999.9,53.711,33.405,30.8288,53.4007,44.379,1,0.154078,-0.165994,20.2448,5.23361,11.992,4.95565,3.304,9999,9999,9999,999.9,1.86872,1.86447,1.87195,1.86295,1.86234,1.86874,1.85885,1.86521,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.395,0.3878,0.194837266885601,0.000627187234394091,-4.01537248521887e-07,9.27123944784829e-11,0.387814043947855,0,0,0,1,1476,2,27,2866.3,2866.2,1.05957,2.40723,1.44775,2.2998,1.44409,2.27539,40.451,24.1663,18,412.018,459.499,27.6388,29.6119,29.9997,29.4347,29.4218,21.2549,0,100,27.6361,419.819,39.0868,96.4607,99.6909,NA,3
